CID	Dataset	CHD	HD	HL	CHL	CDL	DL	S+ZS	S+HD	S+CHD	S+CHL	SMILES
8767	goodscents	The scent is fresh, sweet, and honey-like with rosy and waxy notes.	fresh sweet honey rose waxy. Luebke; SWEET, ROSY, FLORAL, HONEY, WAXY; fresh aromatic; somewhat honey-like; SWEET, ROSY, FLORAL, HONEY, WAXY	fresh; herbal; honey; rose; sweet; waxy	The scent is a sweet, floral blend with herbal and honey notes.	Sweet, floral scent with hints of grape and fungal notes.	flower; fungal; grape_skins; honeydew; rose; sweet	The odorant has a sweet, fruity, and slightly floral scent.	woody floral rose powdery sandalwood	Fruity, floral notes with sweet rose, orange blossom, and green undertones.	The scent is floral, with rose, jasmine, and fruity notes, and woody undertones.	CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1
8767	leffingwell	The scent is sweet and heavy with a honey-rose aroma and waxy undertone.	Sweet, heavy, honey-rose odor; waxy undertone	honey; rose; sweet; waxy	The scent is a sweet, floral blend of honey and rose with a waxy undertone.	The scent is sweet and floral, with notes of grape and rose, resembling balsamic fruit.	balsamic; floral; fruity; grape; rose; sweet	The odorant has a sweet, floral, and slightly fruity scent.	Floral, woody, dry, powdery, slightly sweet, and herbal notes.	Floral and woody, with notes of lavender, rose, and bergamot, on a rich, creamy base.	The scent is woody, earthy, and herbal with floral and vanilla notes.	CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1
8768	arctander	The material emits a faint, unpleasantly medicinal and dry odor.	This material has only a faint odor, normally not pleasant, rather medicinal, dry and weak.	medicinal	The smell is sharp and antiseptic, reminiscent of hospitals and disinfectants.	The scent is sharp and antiseptic, reminiscent of hospitals and disinfectants.	medicinal	The odorant has a pungent, sour smell, similar to acetic acid or vinegar.	Sweet, tar-like, phenolic, slightly spicy odor, reminiscent of Vanilla and Cloves.	The smell is pungent, acrid, and slightly sweet, like burnt sugar.	The scent is sweet and fruity, like citrus or berries.	C1=CC(=C(C=C1C=O)O)O
8768	goodscents	The scent is a dry, medicinal blend with bitter almond notes.	dry medicinal bitter almond	bitter almond; dry; medicinal	Pungent aroma with bitter almond notes and a dry, medicinal undertone.	Smells like sweet, burnt tar with a medicinal undertone.	black; phenolic; sweet	The odorant has a pungent, sour, and slightly sweet smell, characteristic of salicylic acid.	vanilla sweet creamy caramel	The scent is pungent and bitter, like burnt vanilla and caramel.	The scent is a sweet, fruity, and slightly spicy vanillin aroma.	C1=CC(=C(C=C1C=O)O)O
8768	leffingwell	The scent is a weak, medicinal burnt smell with a hint of spice.	Very weak, rather medicinal burnt odor, slight spicy flavor	burnt; medicinal	Pungent aroma of burnt notes with a strong, medicinal scent.	The scent is virtually nonexistent, yet subtly sweet.	odorless; sweet	The odorant has a pungent, sour smell, similar to acetic acid or vinegar.	Sweet, floral, slightly spicy and vanilla-like odor	The scent is a sweet, floral blend with notes of vanilla and honey.	The scent is a sweet, fruity blend of vanilla and strawberry notes.	C1=CC(=C(C=C1C=O)O)O
8784	arctander	The scent is a faint, honeylike and balsamic odor that's easily contaminated.	Very faint honeylike, balsamic odor, easily contaminated from outside odorants	balsamic; honey	The scent is sweet and rich, with notes of balsamic and honey.	Medicinal notes subtly emerge from a predominantly odorless scent with hints of woody undertones.	medicinal; odorless; woody	The odor is a pungent, acidic benzene derivative scent, similar to acetic acid or vinegar.	Sweet-floral, slightly green and herbaceous, with a Hay-like and slightly Phenolic note, of moderate tenacity.	Sweet, floral scent with notes of honey, rose, and slight vinegar sharpness.	The scent is a sweet, floral, and slightly spicy odor with almond notes.	C1=CC=C(C=C1)C=CC(=O)O
8784	goodscents	The scent is a sweet blend of balsam and storax, according to Luebke.	balsam sweet storax. Luebke	balsamic; cinnamyl; storax; sweet	The scent is sweet and warm, with notes of balsamic and spicy cinnamon.	Rich, dark scent with sweet ambergris and acidic undertones.	ambergris; black; sour	The odor is reminiscent of sweet, floral, and fruity notes, similar to benzaldehyde.	vanillin sweet creamy spicy floral	The scent is a sweet, powdery vanilla aroma with floral undertones.	The scent is a sweet, slightly spicy, and floral cinnamic aroma.	C1=CC=C(C=C1)C=CC(=O)O
8785	arctander	The scent is a sweet, fresh, and light floral odor reminiscent of various flowers.	Powerful but “thin”, sweet floral, fresh and light, fruity odor reminiscent of Jasmin, Gardenia, Muguet, Lily and other flowers. Poor tenacity.	floral; fruity; jasmin; lily	Sweet, floral scent with fruity and jasmine notes, reminiscent of fresh lily blooms.	Fresh floral and fruity notes blend with earthy green undertones.	floral; fruity; green	The odorant has a sweet, fruity, and slightly floral scent, reminiscent of ethyl acetate.	Sweet, somewhat fruity and slightly spicy, phenolic odor with a faint medicinal undertone.	The scent is sweet, floral, and slightly spicy, reminiscent of vanilla.	The scent is sweet, floral, and slightly spicy, with a powdery quality.	CC(=O)OCC1=CC=CC=C1
8785	leffingwell	The scent is sweet, floral, and fruity, reminiscent of jasmine and gardenia.	Sweet, floral, fruity odor of jasmin and gardenia, fruity taste	floral; fruity; jasmine; sweet	The scent is a sweet, floral blend of jasmine and fruity notes.	The scent is sweet and floral with hints of anise and green fruit notes.	anisic; floral; fruity; green; sweet	The scent is a sweet, fruity, and slightly floral aroma, reminiscent of wintergreen.	Violet-like, sweet floral; vanilla-like, creamy, slightly powdery	Fruity, floral aroma with sweet, slightly spicy and honey-like notes, reminiscent of rose and vanilla.	The scent is sweet and floral with rose and honey notes.	CC(=O)OCC1=CC=CC=C1
8786	arctander	The scent is a mild, floral-fruity jasmine-type odor with considerable lasting power.	Mild, Jasmin-type odor, floral-fruity, of considerable tenacity.	floral; fruity; jasmin	The scent is sweetly floral with fruity and jasmin notes.	Fresh floral and fruity notes blend with herbaceous and pine hints, evoking a green scent.	floral; fruity; green; herbaceous; pine	The odorant has a pungent, chemical scent with chlorine notes.	Pungent, phenolic, medicinal odor with a sweet undertone, faintly reminiscent of Cherry laurel.	Pungent, medicinal scent with sharp, chemical and phenolic notes.	The scent is a sweet and herbaceous phenolic odor.	C1=CC=C(C=C1)COC(=O)CCl
8791	arctander	The ester has a very faint, fatty odor, nearly imperceptible to most people.	Ve~ faint, fatty odor. Probably odorless to most people when this ester is absolulel> pure.	fatty	The smell is rich and greasy, reminiscent of fried foods or oily textures.	The scent is a complex floral blend with fruity, herbaceous, and oily undertones.	floral; fruity; herbaceous; oily	The odorant has a sweet, fruity, and slightly floral scent.	Fatty, green, and slightly floral odor, somewhat reminiscent of orris and iris.	Smells like vanilla and sweet cream with a hint of toasted nuts.	The scent is rich, floral, and waxy, with a sweet, powdery quality.	CCCCCCCCCCCC(=O)OCC1=CC=CC=C1
8791	goodscents	The scent is light, fatty, waxy, and soapy, as noted by Luebke.	light fatty waxy soapy. Luebke	fatty; soapy; waxy	The scent is reminiscent of melted candle wax and soap, with a rich, fatty undertone.	Earthy, floral scent with fecal and fungal undertones, sweet rose notes, and a waxy finish.	fecal; flower; fungal; rose; waxy	It smells like vanilla, a sweet and creamy fragrance.	powdery vanilla sweet creamy musky	The scent is a rich, creamy vanilla with sweet, floral undertones.	The scent is a rich, creamy vanilla with sweet, powdery, and slightly spicy notes.	CCCCCCCCCCCC(=O)OCC1=CC=CC=C1
8791	leffingwell	The scent has an extremely weak fatty aroma.	Extremely weak fatty odor	fatty	The smell is rich and greasy, reminiscent of melted fat or oil.	The scent combines citrus and fruity notes with floral and waxy undertones, hinting at green and oily elements.	citrus; fatty; floral; fruity; green; oily; waxy	The odorant has a fruity, floral scent, similar to vanilla.	Mildly sweet, floral, herbal, slightly woody vanilla-like	The scent is earthy and herbal, with notes of sandalwood and woody undertones.	The scent features woody, earthy, and slightly floral vanilla notes.	CCCCCCCCCCCC(=O)OCC1=CC=CC=C1
8792	arctander	The scent is fruity-rosy with a mild balsamic note and rose-petal-like undertones.	Fruity-rosy, Rose-petal-like, mildly balsamic odor of good tenacity. Not quite as warmherbaceous as the n-Valerate	balsamic; fruity; herbaceous; rose	Sweet balsamic and fruity notes blend with herbaceous and rose scents.	Fresh floral and fruity notes blend with herbaceous and minty undertones.	floral; fruity; herbaceous; minty	Butyric acid and vanilla notes combine in this sweet, creamy scent.	Sweet, herbaceous, and slightly spicy, with a floral and fruity Lilac-like odor.	The scent is sweetly floral with notes of rose and powdery undertones.	The scent is a sweet, slightly floral and powdery aroma.	CC(C)CC(=O)OCCC1=CC=CC=C1
8792	goodscents	The scent is a sweet floral mix of rose, peach, and apricot with fruity nuances.	floral fruity sweet rose peach apricot. Luebke; Sweet, fruity, ripe pineapple-like with tutti frutti, apple and blueberry nuances. Mosciano	apple; apricot; blueberry; floral; fruity; peach; pineapple; ripe; rose; sweet; tutti frutti	Sweet, fruity aroma with floral hints, reminiscent of ripe tropical fruit and roses.	Sweet, floral, and slightly boozy with hints of citrus and earthy undertones.	alcoholic; apricot; brandy; citrus_aurantium; flower; freshly_laundered_clothes; fungal; green_beans; honey; tea; woody	Butyric acid and vanilla notes combine in this sweet, creamy scent.	woody, dry, herbal, slightly spicy and smoky	The scent is sweet and slightly spicy, with floral and herbal notes.	The scent features a sweet, creamy, and slightly spicy vanilla aroma.	CC(C)CC(=O)OCCC1=CC=CC=C1
8792	leffingwell	The scent is a fruity and floral blend with hints of rose and balsamic.	Fruity, rose, balsamic odor; fruity pineapple, apple, tropical taste	balsamic; fruity; rose	Sweet balsamic and fruity notes blend with floral rose accents.	The scent is a complex blend of floral, fruity, and herbal notes with hints of green and tobacco undertones.	floral; fruity; green; herbal; tobacco	Butyric acid and vanilla notes combine in this scent, reminiscent of sweet creamy aromas.	Fruity, floral, sweet, and slightly spicy vanilla-like odor	The scent is a sweet blend of vanilla and creamy notes with floral undertones.	The scent is herbaceous, spicy, and floral with woody undertones.	CC(C)CC(=O)OCCC1=CC=CC=C1
8794	arctander	The scent is sweet and herbaceous, reminiscent of orange leaf and flower water absolutes.	Peculiar herbaceous-green, yet very sweet and heavy-floral in its undertones. lt is reminiscent of the odor of Orange leaf water absolute, also of Orange flower water absolute.	floral; green; herbaceous	Fresh floral scent with green and herbaceous undertones, reminiscent of blooming gardens.	The scent combines almond sweetness with floral, spicy, and woody notes.	almond; floral; spicy; woody	The smell is pungent and bitter, characteristic of benzonitrile.	Harsh, bitter, almond-like odor with a sharp, pungent quality, somewhat unpleasant.	Pungent, almond-like scent with sweet, floral, and slightly bitter notes.	The scent is pungent, smoky, and almond-like, with a sharp, bitter note.	C1=CC=C(C=C1)CC#N
8797	arctander	The scent is pungent and floral, with lily-like and narcissus-like notes.	Pungent Lily-like odor, penetrating, floral, Narcissus-like in high dilution, Horse-like, urine-like undertones in higher concentration.	floral; lily; narcissus	Sweet, floral scent with notes of lily and narcissus, reminiscent of fresh blooms.	The scent is a fresh, floral blend with fruity and herbaceous notes.	floral; fruity; green; herbaceous	The odorant has a sweet, slightly spicy, and floral scent, reminiscent of vanilla.	Sweet, somewhat powdery and floral odor with an undertone reminiscent of Rose and Orange blossom.	Sweet, fruity aroma with notes of apple and floral hints.	The scent is sweet, floral, and slightly fruity with phenolic notes.	CC1=CC=C(C=C1)OC(=O)C
8797	goodscents	The scent is a strong, animalic narcissus with phenolic and floral notes.	narcissus phenolic animal. Luebke; animalic, medicinal, floral; with cananga- and ylang connotations; PHENOLIC, NARCISSUS, ANIMAL; strong narcissus phenolic animal aromatic medicinal floral cananga- ylang. Blends-well-with - +Linalool +Narcissus +Isoamyl Benzyl Ether +Dimethyl Benzyl Carbinol; Fresh lily like narcissus odor with a slight animalic note	animal; narcissus; phenolic	Pungent animal scent with sweet narcissus and medicinal phenolic notes.	Floral sweetness blends with earthy fungal and warm spicy notes.	flower; fungal; spicy; sweet	The odorant has a sweet, slightly spicy, and floral scent, reminiscent of vanilla.	sweet floral spicy herbal vanilla	Sweet vanilla and creamy notes dominate, with hints of floral and spicy undertones.	The scent is a sweet, slightly spicy, and powdery floral vanilla aroma.	CC1=CC=C(C=C1)OC(=O)C
8797	leffingwell	The scent is strong, floral, and slightly fruity with animal undertones.	Strong, floral-narcissus-ylang, animal odor; sweet, slight fruity taste	animal; floral	Musky animal scent blended with sweet floral notes.	The scent is a sweet, floral blend with hints of fruity freshness.	floral; fruity; sweet	The odorant has a sweet, slightly pungent, and floral scent.	Vanilla-like, creamy, sweet, and slightly spicy odor	Sweet, floral notes with powdery, vanilla undertones and a hint of citrus.	The scent features sweet, fruity, and slightly spicy notes of anise.	CC1=CC=C(C=C1)OC(=O)C
8815	arctander	The scent is a sweet-herbaceous Anise-Fennel type with balanced sweetness.	Sweet-herbaceous Anise-Fennel type odor. Much more herbaceous than Anethole, and not as intensely sweet.	anisic; herbaceous	The scent is sweetly licorice-like with earthy, herbal undertones.	The scent is a vibrant, floral blend with fruity and spicy undertones.	floral; fruity; green; herbaceous; leafy; spicy	The odorant has a sweet, floral, and slightly spicy scent reminiscent of styrene.	Warm, spicy, slightly sweet, and herbal odor, reminiscent of Clove and Carnation.	The scent is sweet and floral, with hints of vanilla and creamy notes.	The scent is floral and slightly sweet, reminiscent of lilac.	COC1=CC=C(C=C1)CC=C
8815	goodscents	The scent is sweet and herbal with notes of anise, fennel, and spice.	sweet sassafrass anise spice green herbal fennel. Luebke; Sweet, phenolic, anise, harsh, spice, green, herbal, minty. Mosciano; Sweet-herbaceous Anise-Fennel type. Used in fragrance compositions such as lavender, fougere, and chypre. Gives a nice fruity/anise aromatic note.; basil sweet phenolic anise harsh spice green herbal minty. Blends-well-with - +Ylang; REMINISCENT OF ANISE; REMINISCENT OF ANISE	anise; fennel; green; herbal; minty; phenolic; sassafrass; spicy; sweet	The scent is a complex, sweet, and herbal blend with spicy and minty notes.	Earthy, sweet, and spicy scent with floral and woody notes.	flower; freshly_laundered_clothes; fungal; green_beans; ham; honey; sensual; spicy; sweet; unwashed; warm; weedy; woody	It smells like styrene, pungent and sweet, with a sharp, chemical tone.	vanilla creamy sweet spicy	The scent is floral and sweet, with notes of rose and orange blossom.	The scent is a sweet and creamy vanilla-like aroma with floral notes.	COC1=CC=C(C=C1)CC=C
8815	leffingwell	The scent is sweet and herbaceous with anise and licorice notes.	Sweet, herbaceous, anise-fennel odor & sweet basil, licorice, celery taste	anisic; herbal; sweet	The scent is sweet and herbal with a hint of anisic licorice.	The scent is a fresh, fruity, and herbal blend with sweet and spicy undertones.	fresh; fruity; green; herbal; spicy; sweet	The odorant has a sweet, floral, and slightly spicy scent.	Lilac, green, floral, waxy, slightly spicy, herbal notes	Sweet, floral, and slightly spicy, with citrus and resinous notes of rose and lavender.	The scent features citrus, floral, and green tea notes with herbal hints.	COC1=CC=C(C=C1)CC=C
8821	arctander	The scent is acrid, penetrating, and surprisingly tenacious.	Acrid, penetrating odor, apparently very diffusive, yet surprisingly temcious	very; diffusive	The scent is strong and spreads quickly, filling the surrounding air.	The scent is a delicate, fruity aroma with an ethereal quality.	ethereal; fruity	Butyric acid's pungent, sour smell is represented by CCOC(=O)C=C.	Pungent, sweet-fruity and slightly floral odor with a green note.	The scent is pungent, sweet, and fruity, with a hint of acidity.	The scent is a strong, pungent, and irritating acetic smell.	CCOC(=O)C=C
8821	goodscents	The smell is a harsh blend of plastic, acrylate, and sweet fruity notes.	harsh plastic acrylate fruity. Luebke	acrylate; fruity; plastic	Sweet, fruity aroma with a sharp, plastic undertone reminiscent of acrylate.	Rich, sweet plum and rum notes blend with eucalyptus, fungal, and warm spice aromas.	eucalyptus; fungal; plum; rum; spice; sweet	Butyric acid-like scent, pungent and sour, with fruity undertones.	fruity floral sweet rose apple cinnamon	Fruity and floral, with notes of apple, pear, and rose petals.	The scent is fruity, floral, and slightly sweet with a hint of apple.	CCOC(=O)C=C
8821	leffingwell	The scent is sharp and irritating, similar to rum when diluted.	Sharp, irritating, acrid odor; rum-like in dilution	rum; sharp	Pungent aroma of rum with a sharp, biting edge.	Ethereal sweetness with hints of fruity and green notes, reminiscent of rum.	ethereal; fruity; green; rum; sweet	Butyric acid's pungent, sour smell is represented by CCOC(=O)C=C.	Sweet, floral, honey, rose, and fruity notes	Fruity and floral, with sweet notes of peach and apricot, and a hint of buttery richness.	The scent features sweet, floral, and fruity notes with hints of apple.	CCOC(=O)C=C
8830	leffingwell	The scent features mild, fruity-winey notes with hints of fermentation.	Mild fruity-winey fermented notes	fermented; fruity; winey	The scent is pungently sweet, with notes of fermented fruit and wine.	Rich, fruity aroma with hints of green and oily notes, reminiscent of wine.	fatty; fruity; green; oily; winey	Butyric and acetic acid notes create a pungent, sour smell.	Rich, sweet, creamy, buttery, vanilla-like, caramellic notes	Rich, creamy aroma with notes of coconut, vanilla, and sweet tropical fruit.	The scent is waxy, woody, and slightly sweet with creamy notes.	CCCCOC(=O)CCC(=O)OCCCC
8831	goodscents	The scent is a mild estery aroma.	mild estery	mild; estery	The scent is mildly sweet and fruity, with a subtle estery note.	Earthy, sweet scent with notes of cabbage, cucumber, and fungal undertones.	cabbage; cucumber; fungal; sweet	Butyric and valeric acid notes create a pungent, sweaty smell.	woody sweet lavender floral herbal musky	Earthy, mossy, and woody, with sweet, creamy, and herbal undertones.	The scent is a sweet, creamy, and woody blend with hints of vanilla and musk.	CC(C)COC(=O)CCCCC(=O)OCC(C)C
8831	leffingwell	The scent is nearly odorless, making it suitable as a co-solvent.	Nearly odorless, possibly used as a co-solvent	odorless	The smell is completely neutral, lacking any discernible scent or aroma.	Buttery and creamy notes blend with fruity and oily undertones.	buttery; creamy; fruity; oily	Pungent, fruity, and slightly acidic, with a hint of sweetness.	Fruity, floral, citrus, and woody notes with lavender connotations	The scent is a sweet, creamy blend with notes of vanilla and caramel.	The scent is fruity, sweet, and slightly woody with amber notes.	CC(C)COC(=O)CCCCC(=O)OCC(C)C
8833	arctander	The scent is a sweet, light, and refreshing rose-muguet with delicate green notes.	Sweet, light and refreshing Rose-M uguet type of odor with variable amounts of delicately green or leafy notes.	green; leafy; rose	Fresh floral scent with leafy undertones and a hint of rose.	The scent is a floral and fruity blend with herbaceous and woody undertones, reminiscent of rose.	floral; fruity; green; herbaceous; rose; woody	Pungent, sweet, and slightly fruity, with a hint of spice.	Green-herbaceous, slightly sweet and spicy, reminiscent of Galbanum and Lavender.	The scent is sweetly floral with hints of green tea and herbal notes.	The scent is a sweet, floral, and slightly green herbal aroma.	CC(CCCC(=C)C)CCOC(=O)C
8833	goodscents	The scent is a powdery, spicy blend of red rose, geranium, citrus, and leafy notes.	red rose powdery spicy geranium citrus leafy. Luebke	citrus; geranium; leafy; powdery; red rose; spicy	Fragrant citrus and rose blend with spicy, powdery notes and leafy undertones.	Citrus and floral notes blend with earthy, green, and woody undertones.	citrus_aurantium; flower; fungal; green_beans; sweet; woody	Pungent, sweet, and fruity, with floral and woody undertones.	rich floral woody sandalwood	Fruity and floral, with sweet, powdery, and slightly spicy undertones.	The scent features a fruity and floral blend with woody, amber, and musky undertones.	CC(CCCC(=C)C)CCOC(=O)C
8833	leffingwell	The scent is a fresh, rosy, and fruity aroma.	Fresh rosy, fruity odor; fruity-berry like taste	fresh; fruity; rose	The scent is a fresh, fruity blend with a hint of rose.	The scent is a sweet, floral blend with fresh, fruity, and herbal notes, reminiscent of rose.	floral; fresh; fruity; green; herbal; rose; sweet	The odorant smells like vanilla, with sweet and creamy notes.	Mild, sweet, fruity, floral, woody and herbal notes	The scent is a rich, creamy blend of vanilla, butter, and sweet caramel notes.	The scent features woody, earthy, and herbaceous notes with a hint of spice.	CC(CCCC(=C)C)CCOC(=O)C
8834	arctander	The scent is a fresh-fruity and sweet-rosy odor with rich berry notes.	Fresh-fruity, sweet-rosy odor, richer, rounder than that of the acetate, also more berrYIike, fruity.	berry; fruity; rose	The scent is sweet and floral, with berry and fruity notes reminiscent of rose.	Earthy, floral scent with fruity and herbaceous undertones.	fruity; green; herbaceous; leafy; rose; tobacco; woody	Butyric acid's pungent, sour smell is emitted.	Fruity, green and sweet, with a floral and herbaceous undertone, fresh and natural odor.	Earthy and herbaceous, with notes of green leaves and fresh cut grass.	The scent is herbaceous, green, and slightly floral with fruity undertones.	CCC(=O)OCCC(C)CCC=C(C)C
8834	goodscents	The scent is a floral and fruity blend with green, waxy, and citrus notes.	floral green neroli waxy fruity rose. Luebke; Floral, green, waxy and citrus with fruity nuances. Mosciano; tropical, rose. Can be used in oriental, berry rose, honeysuckle and chevrefeuille compositions.; Fresh, rose floral, with fruity sweet facets; Fruity, Floral, Honey; fruity, somewhat citrusy; slightly floral, rosy; Floral, Fresh, Fruity, Sweet; Floral, Green, Waxy, Citrus, Fruity	citrus; floral; fruity; green; neroli; rose; waxy	The scent is a bright, floral citrus blend with green and waxy undertones.	Sweet, floral, and earthy, with hints of spice and freshness.	apricot; flower; fungal; ginger; green_beans; honey; natural; rose; tea; woody	The odorant has a fruity, floral scent, similar to rose or lavender.	woody herbal green earthy	The scent is a sweet, woody, and herbaceous aroma with earthy undertones.	The scent features a fruity, green, and slightly woody aroma with floral notes.	CCC(=O)OCCC(C)CCC=C(C)C
8834	leffingwell	The scent is a sweet, fruity rose odor with bittersweet and floral notes.	Sweet fruity rose odor; bittersweet, floral-green-citrus-plum-like taste	fruity; rose; sweet	The scent is a sweet, fruity blend with hints of rose.	The scent combines sweet apple and floral notes with herbal and woody undertones.	apple; floral; fruity; herbal; rose; sweet; tobacco; woody	The odorant has a pungent, fruity, and slightly floral scent, reminiscent of ripe fruit.	Fruity, floral, woody, and slightly sweet rose-like notes	Fruity, floral, and sweet, with notes of apple, pear, and rose, evoking a lush bouquet.	The scent features floral and woody notes with hints of rose and sandalwood.	CCC(=O)OCCC(C)CCC=C(C)C
8835	arctander	The scent is intensely fruity, sweet, and warmly floral with rose-petal-like notes.	Intensely fruity, sweet and somewhat rosy, leafy (rose-petal-like) odor. Overall warm, deep and very pleasant.	fruity; leafy; rose	The scent is a floral and fruity blend with hints of leafy undertones and rose.	The scent is a floral and fruity blend with herbal and woody notes, dominated by rose.	floral; fruity; herbaceous; rose; woody	The scent is a pungent, fruity, and slightly floral aroma.	Fruity-floral odor with green topnotes, recalling Galbanum and Mandarin, and a sweet woody dryout.	The scent is reminiscent of fresh green leaves and earthy vegetation.	The scent is a floral, fruity, and slightly sweet freesia-like odor.	CCCC(=O)OCCC(C)CCC=C(C)C
8835	goodscents	The scent is sweet, fruity, floral, and tropical with green and waxy notes.	sweet fruity floral tropical green geranium waxy. Luebke; sweet, fruity, floral and perfume-like with a green citrus Iinalool nuance. Mosciano; fruity, rose, floral. Adds freshness to rose and geranium compositions.; STRONG, FRUITY, ROSE-LIKE	bois de rose; citrus; floral; fruity; geranium; green; sweet; tropical; waxy	Sweet, floral, and fruity scent with tropical and citrus notes.	Floral and sweet scent with earthy and herbal undertones, reminiscent of rose and honeydew.	flower; fungal; ginger; green_beans; honeydew; natural; rose; sweet; tea	The scent is a sweet, fruity, and slightly floral aroma, similar to citrus or tropical fruit.	woody ambroxan musky sandalwood animalic	The scent is herbal and woody, with notes of lavender and earthy undertones.	The scent features woody, earthy, and waxy notes with a hint of citrus.	CCCC(=O)OCCC(C)CCC=C(C)C
8835	leffingwell	The scent is fruity and sweet with rosy, leafy notes of apple and plum.	Fruity, sweet, rosy, leafy; apple and plum like notes	apple; fruity; leafy; plum; rose; sweet	Sweet, fruity aroma with floral and leafy notes, reminiscent of apples, plums, and roses.	Sweet, fruity aroma with floral rose and apple notes.	apple; floral; fruity; rose; sweet	The odorant has a strong, pungent, and fruity scent, resembling a sweet citrus aroma.	Fruity, floral, waxy, and slightly woody, tropical scent	Floral and fruity, with sweet notes of rose, peach, and apricot, and a hint of green.	The scent is woody, fruity, and floral with rose and geranium notes.	CCCC(=O)OCCC(C)CCC=C(C)C
8842	arctander	The scent is a fresh, sweet, and light rosy-floral aroma with variable intensity.	Fresh rosy odor, variable according to purity, content of Dimethybctanol, Geraniol, etc. Overall sweet, fresher, lighter rosy-floral than Geraniol.	floral; rose	The scent is a sweet, floral aroma reminiscent of fresh rose petals.	The scent is a floral, green rose aroma with oily undertones.	floral; green; oily; rose	The odorant has a woody, earthy scent, reminiscent of cedarwood.	Fruity-woody and slightly floral, Rose-like and Sandalwood-like odor, rich and tenacious.	Earthy and herbaceous, with a sweet, slightly spicy, and woody scent.	The scent is herbaceous, earthy, and slightly woody, with a fresh, terpenic character.	CC(CCC=C(C)C)CCO
8842	leffingwell	The scent is reminiscent of a rose with a floral aroma.	Rose-like odor and taste	rose	The scent is floral and sweet, reminiscent of freshly bloomed roses.	The scent is a fresh, citrusy blend with sweet and earthy undertones.	citrus; earthy; floral; fresh; fruity; green; herbal; melon; sweet; waxy	The scent is reminiscent of fresh citrus and green notes, typical of geraniol.	Sweet, fruity, floral, slightly woody, whiskey-like	The scent is woody, earthy, and herbaceous, with notes of moss and forest floor.	The scent is a warm, woody blend of sandalwood and amber.	CC(CCC=C(C)C)CCO
8843	arctander	This lemon fragrance has poor stability in various products.	Widely used as a powerful Lemon-fragrance chemical, but suffers from poor stability in many types of functional products	citrus	The scent is fresh and zesty, reminiscent of lemons or oranges.	Fresh cut grass and earthy undertones evoke a crisp, green aroma.	green; leafy	The odor is pungent, woody, and slightly sweet, resembling cedarwood.	Strong, irritating, pungent, and unpleasantly sweet almond-like odor.	The scent is sweet and citrusy, with herbal and floral undertones.	The scent is earthy and mossy with herbal undertones, reminiscent of forest floor.	CC(=CCCC(=CC=O)C)C
8844	leffingwell	The scent is winey-oily with a slightly fruity undertone.	Winey-oily, slightly fruity	fruity; oily; winey	The scent is a rich, fruity aroma with oily and winey undertones.	The aroma is a sweet, fruity scent with a hint of wine.	fruity; sweet; winey	The smell is a pungent, fruity, and waxy scent, similar to coconut or tropical fruit.	Sweet, creamy, fruity, apple-like, slightly floral odor	Fruity and sweet, with notes of apple, pear, and creamy vanilla, hinting at buttery richness.	The scent is waxy, fruity, and floral with hints of honey.	CCOC(=O)CCCCC(=O)OCC
8857	arctander	The odor is pleasant and brandy-like, but nauseating at high concentrations.	Pleasant, ethereal-fntity, Brandy-like odor, somewhat nauseating in high concentration.	brandy; ethereal; fruity	Sweet, fruity aroma with hints of brandy and an ethereal quality.	The scent is a delicate, fruity fragrance with an ethereal quality.	ethereal; fruity	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	Pungent, irritating, and unpleasantly acrid odor, reminiscent of acetic acid.	Pungent, sweet, and fruity, with notes of ripe tropical fruit.	The scent is a pungent, irritating acetic acid-like odor.	CCOC(=O)C
8857	goodscents	The odor is a strong, pleasant, fruity, and sweet ethereal scent.	ethereal fruity sweet weedy green. Luebke; Etherial, fruity, sweet, grape and rum-like. Mosciano; dry fruity musty pineapple; Ethereal, fruity-grape, sweet, rum-like. Arctander describes the scent as “Pleasant, ethereal-fntity, Brandy-like odor, somewhat nauseating in high concentration.” and suggests it is used “to make a topnote smell ‘aged’ or more rounded-alcoholic, or to give a ‘lift’ to Citrus notes or other light notes, etc.”; STRONG,PLEASANT,FRUITY,BRANDY; STRONG,PLEASANT,FRUITY,BRANDY	ethereal; fruity; grape; green; rummy; sweet; weedy	Sweet, fruity aroma with hints of grape and rum.	Floral, herbal, and sweet notes blend with earthy and boozy undertones.	asteraceae; eucalyptus; fungal; green_beans; rum; sweet	The odorant has a sweet, fruity, and slightly floral scent.	sweet fruity floral honey	The scent is a sweet, milky aroma reminiscent of vanilla and creamy notes.	The scent is pungent, with a sharp and acetic acidic vinegar note.	CCOC(=O)C
